       sample #	    ECG
              0	    -21
              1	    -26
              2	    -22
              3	    -33
              4	    -64
              5	    -42
              6	    127
              7	    462
              8	    313
              9	     55
             10	    -17
             11	     -8
             12	    -13
             13	    -25
             14	    -20
             15	    -23
             16	    -20
             17	    -22
             18	    -16
             19	    -17
             20	    -12
             21	    -13
             22	     -7
             23	     -7
             24	     -2
             25	     -3
             26	      0
             27	     -2
             28	     -5
             29	    -10
             30	     -8
             31	    -11
             32	     -7
             33	     -1
             34	      6
             35	      7
             36	      5
             37	      1
             38	      0
             39	     -3
             40	     -4
             41	     -7
             42	     -6
             43	     -9
             44	    -10
             45	    -12
             46	    -10
             47	    -14
             48	    -12
             49	    -15
             50	    -15
             51	    -16
             52	    -15
             53	    -18
             54	    -18
             55	    -20
             56	    -16
             57	    -19
             58	    -18
             59	    -20
             60	    -18
             61	    -19
             62	    -17
             63	    -22
             64	    -16
             65	    -16
             66	     -3
             67	     -5
             68	     16
             69	     20
             70	     16
             71	      0
             72	     -3
             73	    -21
             74	    -18
             75	    -28
             76	    -20
             77	    -28
             78	    -21
             79	    -44
             80	    -57
             81	      0
             82	    224
             83	    510
             84	    198
             85	      1
             86	    -12
             87	     -8
             88	    -16
             89	    -25
             90	    -18
             91	    -24
             92	    -17
             93	    -22
             94	    -14
             95	    -16
             96	    -10
             97	    -13
             98	     -2
             99	     -5
            100	     -1
            101	     -4
            102	      0
            103	     -1
            104	      0
            105	     -8
            106	     -5
            107	     -7
            108	      0
            109	      2
            110	      8
            111	      4
            112	      3
            113	      0
            114	     -1
            115	     -5
            116	     -7
            117	     -9
            118	     -4
            119	     -7
            120	    -10
            121	    -10
            122	    -12
            123	    -15
            124	    -14
            125	    -14
            126	    -15
            127	    -15
            128	    -16
            129	    -18
            130	    -14
            131	    -17
            132	    -20
            133	    -21
            134	    -18
            135	    -21
            136	    -20
            137	    -22
            138	    -19
            139	    -25
            140	    -21
            141	    -16
            142	     -7
            143	     -2
            144	     13
            145	     16
            146	      9
            147	     -3
            148	    -10
            149	    -25
            150	    -24
            151	    -31
            152	    -29
            153	    -29
            154	    -24
            155	    -58
            156	    -63
            157	     23
            158	    283
            159	    470
            160	    168
            161	     -8
            162	    -21
            163	    -12
            164	    -20
            165	    -29
            166	    -23
            167	    -28
            168	    -22
            169	    -26
            170	    -20
            171	    -19
            172	    -13
            173	    -11
            174	     -9
            175	     -9
            176	     -2
            177	     -2
            178	     -1
            179	     -4
            180	     -2
            181	     -1
            182	     -4
            183	     -2
            184	      5
            185	     11
            186	     12
            187	      2
            188	      3
            189	     -6
            190	     -3
            191	     -7
            192	     -3
            193	     -6
            194	    -16
            195	    -15
            196	    -17
            197	    -14
            198	    -14
            199	    -18
            200	    -19
            201	    -17
            202	    -19
            203	    -24
            204	    -19
            205	    -19
            206	    -24
            207	    -22
            208	    -24
            209	    -25
            210	    -22
            211	    -20
            212	    -25
            213	    -27
            214	    -24
            215	    -23
            216	    -23
            217	    -19
