       sample #	    ECG
              0	     -4
              1	     -4
              2	     -5
              3	     -2
              4	     -2
              5	     -3
              6	     -2
              7	     -4
              8	     -5
              9	     -8
             10	     -7
             11	    -11
             12	     -8
             13	    -11
             14	    -11
             15	     -9
             16	      1
             17	      6
             18	     12
             19	     11
             20	     24
             21	     17
             22	     11
             23	     -2
             24	     -1
             25	    -18
             26	    -19
             27	    -22
             28	    -19
             29	    -23
             30	    -19
             31	    -24
             32	    -18
             33	    -16
             34	     40
             35	    107
             36	    -64
             37	    -71
             38	    -39
             39	    -18
             40	    -17
             41	    -21
             42	    -18
             43	    -19
             44	    -15
             45	    -19
             46	    -14
             47	    -17
             48	    -12
             49	    -13
             50	     -6
             51	     -5
             52	      0
             53	      2
             54	      7
             55	     11
             56	     22
             57	     26
             58	     35
             59	     42
             60	     48
             61	     51
             62	     57
             63	     59
             64	     58
             65	     46
             66	     40
             67	     23
             68	     11
             69	      2
             70	     -3
             71	     -6
             72	     -9
             73	     -8
             74	     -7
             75	     -4
             76	     -7
             77	     -4
             78	     -5
             79	     -4
             80	     -6
             81	     -4
             82	     -6
             83	     -6
             84	     -9
             85	     -7
             86	     -9
             87	     -9
             88	    -13
             89	    -11
             90	     -8
             91	      7
             92	     10
             93	     14
             94	     12
             95	     21
             96	     17
             97	      6
             98	      0
             99	     -7
            100	    -20
            101	    -22
            102	    -24
            103	    -18
            104	    -22
            105	    -21
            106	    -25
            107	    -17
            108	    -12
            109	     39
            110	     82
            111	    -91
            112	    -77
            113	    -40
            114	    -17
            115	    -17
            116	    -21
            117	    -19
            118	    -26
            119	    -19
            120	    -21
            121	    -15
            122	    -18
            123	    -11
            124	    -14
            125	     -9
            126	     -7
            127	      0
            128	      0
            129	     10
            130	     12
            131	     24
            132	     25
            133	     37
            134	     40
            135	     50
            136	     54
            137	     60
            138	     63
            139	     56
            140	     49
            141	     35
            142	     19
            143	      9
            144	      0
            145	     -8
            146	     -7
            147	     -9
            148	     -9
            149	    -11
            150	    -10
            151	     -8
            152	     -9
            153	     -4
            154	    -10
            155	     -6
            156	    -10
            157	     -8
            158	    -11
            159	    -12
            160	    -11
            161	     -9
            162	    -12
            163	    -13
            164	    -11
            165	      0
            166	      6
            167	     11
            168	      7
            169	     22
            170	     17
            171	     12
            172	      0
            173	     -6
            174	    -23
            175	    -25
            176	    -25
            177	    -21
            178	    -24
            179	    -21
            180	    -27
            181	    -24
            182	    -16
            183	     27
            184	     93
            185	    -47
            186	    -77
            187	    -53
            188	    -30
            189	    -25
            190	    -26
            191	    -20
            192	    -24
            193	    -20
            194	    -24
            195	    -16
            196	    -18
            197	    -13
            198	    -14
            199	     -8
            200	     -8
            201	     -1
            202	      1
            203	      5
            204	     11
            205	     16
            206	     22
            207	     36
            208	     38
            209	     49
            210	     52
            211	     57
            212	     60
            213	     58
            214	     51
            215	     44
            216	     23
            217	     11
            218	      2
            219	     -3
            220	    -11
            221	     -7
            222	     -8
            223	    -12
            224	     -9
            225	     -6
            226	     -7
            227	     -7
            228	     -6
            229	     -7
            230	     -8
            231	    -11
            232	    -11
            233	     -9
            234	    -10
            235	    -12
            236	    -10
            237	    -10
            238	    -10
            239	     -5
            240	      9
            241	      9
            242	     10
            243	     24
            244	     19
            245	      9
            246	     -2
            247	     -2
            248	    -20
            249	    -24
            250	    -22
            251	    -21
            252	    -22
            253	    -22
            254	    -25
            255	    -23
            256	    -14
            257	     32
            258	    103
            259	    -27
            260	    -74
            261	    -46
            262	    -24
            263	    -18
            264	    -20
            265	    -21
            266	    -21
            267	    -18
            268	    -21
            269	    -15
            270	    -18
            271	    -13
            272	    -14
            273	     -9
            274	     -8
            275	      0
            276	      0
            277	      8
            278	     11
            279	     18
            280	     22
            281	     32
            282	     39
            283	     45
            284	     52
            285	     56
            286	     56
            287	     60
            288	     53
            289	     41
            290	     26
            291	     14
            292	      2
            293	     -4
            294	     -9
            295	     -7
            296	     -6
            297	     -6
            298	     -7
            299	     -9
            300	     -8
            301	     -5
            302	     -4
            303	     -6
            304	     -6
            305	     -9
            306	     -9
            307	     -8
            308	    -10
            309	    -12
            310	    -11
            311	    -14
            312	    -14
            313	     -5
            314	      8
            315	      9
            316	     14
            317	     21
            318	     21
            319	     16
            320	      0
            321	      0
            322	    -12
            323	    -22
            324	    -20
            325	    -20
            326	    -22
            327	    -23
            328	    -22
            329	    -25
            330	    -17
            331	     11
            332	     65
            333	      0
            334	    -83
            335	    -56
            336	    -28
            337	    -17
            338	    -22
            339	    -21
            340	    -21
            341	    -20
            342	    -21
            343	    -20
            344	    -16
            345	    -15
            346	    -12
            347	    -10
            348	     -6
            349	     -2
            350	      0
            351	      5
            352	     12
            353	     18
            354	     24
            355	     32
            356	     41
            357	     47
            358	     50
            359	     59
            360	     60
            361	     60
            362	     56
            363	     42
            364	     28
            365	     14
            366	      3
            367	     -3
            368	     -5
            369	    -10
            370	    -11
            371	    -10
            372	     -7
            373	     -8
            374	     -9
            375	     -7
            376	     -7
            377	     -5
            378	     -7
            379	     -9
            380	     -5
            381	     -7
            382	    -10
            383	    -11
            384	    -10
            385	    -12
            386	    -11
            387	     -1
            388	      9
            389	     10
            390	     11
            391	     21
            392	     17
            393	     12
            394	      1
            395	     -4
            396	    -20
            397	    -23
            398	    -23
            399	    -23
            400	    -24
            401	    -24
            402	    -24
            403	    -25
            404	    -14
            405	     15
            406	     67
            407	     -3
            408	    -81
            409	    -55
            410	    -34
            411	    -20
            412	    -21
            413	    -21
            414	    -18
            415	    -22
            416	    -22
            417	    -16
            418	    -16
            419	    -15
            420	    -15
            421	     -9
            422	     -5
            423	     -2
            424	      0
            425	      5
            426	     13
            427	     16
            428	     21
            429	     33
            430	     40
            431	     47
            432	     53
            433	     55
            434	     62
            435	     63
            436	     54
            437	     44
            438	     25
            439	     16
            440	      1
            441	     -5
            442	     -5
            443	    -10
            444	     -8
            445	    -10
            446	    -10
            447	     -9
            448	     -8
            449	     -4
            450	     -7
            451	    -10
            452	     -8
            453	     -8
            454	     -9
            455	    -11
            456	    -11
            457	    -12
            458	    -14
            459	    -13
            460	    -13
            461	      0
            462	      8
            463	      8
            464	     10
            465	     23
            466	     15
            467	     11
            468	     -4
            469	     -3
            470	    -20
            471	    -23
            472	    -25
            473	    -21
            474	    -24
            475	    -23
            476	    -26
            477	    -21
            478	    -14
            479	     33
            480	    101
            481	    -33
            482	    -76
            483	    -49
            484	    -30
            485	    -22
            486	    -21
            487	    -21
            488	    -23
            489	    -15
            490	    -20
            491	    -18
            492	    -19
            493	    -11
            494	     -8
            495	    -10
            496	    -10
            497	     -2
            498	      3
            499	     11
            500	      9
            501	     21
            502	     27
            503	     33
            504	     40
            505	     51
            506	     59
            507	     59
            508	     62
            509	     62
            510	     52
            511	     44
            512	     27
            513	     11
            514	      7
            515	     -2
            516	     -1
            517	     -7
            518	     -7
            519	    -12
            520	     -5
            521	     -5
            522	     -9
            523	     -5
            524	     -8
            525	     -5
            526	     -8
            527	    -10
            528	     -8
            529	    -14
            530	    -13
            531	    -14
            532	    -13
            533	    -14
            534	    -13
            535	     -7
            536	      8
            537	      7
            538	     15
            539	     12
            540	     23
            541	     18
            542	      3
            543	     -2
            544	    -12
            545	    -25
            546	    -20
            547	    -24
            548	    -23
            549	    -25
            550	    -19
            551	    -26
            552	    -13
            553	      2
            554	     70
            555	     94
            556	    -78
            557	    -58
            558	    -29
            559	    -13
            560	    -18
            561	    -24
            562	    -18
            563	    -25
            564	    -18
            565	    -22
            566	    -14
            567	    -17
            568	    -10
            569	    -13
            570	     -5
            571	    -10
            572	     -1
            573	      4
            574	     11
            575	     13
            576	     21
            577	     30
            578	     38
            579	     45
            580	     51
            581	     55
            582	     62
            583	     64
            584	     60
            585	     51
            586	     35
            587	     21
            588	      9
            589	      0
            590	     -5
            591	     -5
            592	     -4
            593	     -5
            594	     -6
            595	     -6
            596	     -4
            597	     -6
            598	     -7
            599	     -6
            600	     -3
            601	     -6
            602	     -3
            603	     -8
            604	     -7
            605	     -9
            606	     -9
            607	    -11
            608	     -9
            609	     -6
            610	      9
            611	     10
            612	     16
            613	     15
            614	     23
            615	     18
            616	      4
            617	      0
            618	     -8
            619	    -19
            620	    -17
            621	    -23
            622	    -18
            623	    -23
            624	    -20
            625	    -23
            626	    -11
            627	      0
            628	     52
            629	     70
            630	    -89
            631	    -70
            632	    -30
            633	    -12
            634	    -16
            635	    -19
            636	    -18
            637	    -22
            638	    -15
            639	    -19
            640	    -12
            641	    -14
            642	    -12
            643	     -9
            644	     -5
            645	     -2
            646	      2
            647	      4
            648	     13
            649	     17
            650	     26
            651	     32
            652	     41
            653	     45
            654	     52
            655	     57
            656	     59
            657	     62
            658	     59
            659	     48
            660	     36
            661	     20
            662	      9
            663	     -1
            664	     -6
            665	     -9
            666	     -9
            667	     -8
            668	     -7
            669	     -7
            670	     -6
            671	     -8
            672	     -4
            673	     -6
            674	     -9
            675	     -8
            676	     -7
            677	     -8
            678	    -12
            679	    -12
            680	    -10
            681	    -12
            682	    -13
            683	    -11
            684	      0
            685	      9
            686	      9
            687	      9
            688	     22
            689	     18
            690	     12
            691	     -2
            692	     -4
            693	    -20
            694	    -24
            695	    -23
            696	    -22
            697	    -25
            698	    -22
            699	    -24
            700	    -16
            701	    -15
            702	     28
            703	     83
            704	    -55
            705	    -82
            706	    -45
            707	    -27
            708	    -20
            709	    -23
            710	    -22
            711	    -20
            712	    -18
            713	    -19
            714	    -16
            715	    -19
            716	    -13
            717	     -9
            718	     -8
            719	     -7
            720	      0
            721	      1
            722	      7
            723	     14
            724	     24
            725	     28
            726	     32
            727	     42
            728	     47
            729	     52
            730	     61
            731	     63
            732	     62
            733	     56
            734	     42
            735	     23
            736	     15
            737	      2
            738	     -5
            739	     -8
            740	     -9
            741	    -11
            742	     -6
            743	     -9
            744	     -8
            745	     -6
            746	     -6
            747	     -6
            748	     -8
            749	     -7
            750	     -3
            751	     -8
            752	     -8
            753	     -8
            754	     -9
            755	    -13
            756	    -10
            757	     -9
            758	     -2
            759	      9
            760	     12
            761	     13
            762	     23
            763	     20
            764	     12
            765	      1
            766	     -5
            767	    -16
            768	    -23
            769	    -21
            770	    -19
            771	    -29
            772	    -23
