       sample #	    ECG
              0	    -27
              1	    -37
              2	    -35
              3	    -37
              4	    -32
              5	    -37
              6	    -34
              7	    -30
              8	    -26
              9	    -24
             10	    -16
             11	    -14
             12	    -10
             13	    -12
             14	     -6
             15	     -7
             16	     -4
             17	     -4
             18	     -3
             19	     -8
             20	     -5
             21	     -8
             22	     -6
             23	     -8
             24	     -7
             25	    -10
             26	    -10
             27	    -10
             28	    -11
             29	    -13
             30	    -14
             31	    -16
             32	    -11
             33	    -12
             34	     -3
             35	     -2
             36	      6
             37	     11
             38	     24
             39	     27
             40	     26
             41	     18
             42	     10
             43	      2
             44	     -8
             45	    -18
             46	    -18
             47	    -24
             48	    -24
             49	    -28
             50	    -26
             51	    -28
             52	    -23
             53	    -22
             54	     -3
             55	    143
             56	    454
             57	    440
             58	     38
             59	   -239
             60	   -322
             61	   -262
             62	   -115
             63	    -60
             64	    -32
             65	    -22
             66	    -15
             67	    -10
             68	     -7
             69	     -8
             70	     -1
             71	     -4
             72	      1
             73	      2
             74	      4
             75	      2
             76	      6
             77	      8
             78	     12
             79	     14
             80	     21
             81	     24
             82	     33
             83	     37
             84	     48
             85	     48
             86	     51
             87	     51
             88	     51
             89	     44
             90	     38
             91	     27
             92	     20
             93	      8
             94	      3
             95	     -6
             96	     -5
             97	    -11
             98	    -14
             99	    -22
            100	    -23
            101	    -28
            102	    -26
            103	    -29
            104	    -26
            105	    -26
            106	    -23
            107	    -26
            108	    -21
            109	    -22
            110	    -16
            111	    -16
            112	    -12
            113	    -12
            114	     -5
            115	     -7
            116	     -4
            117	     -6
            118	     -6
            119	     -7
            120	     -6
            121	    -10
            122	     -7
            123	    -10
            124	     -6
            125	    -10
            126	     -8
            127	    -12
            128	     -8
            129	     -8
            130	     -8
            131	    -12
            132	     -6
            133	    -13
            134	     -6
            135	     -1
            136	      8
            137	     16
            138	     26
            139	     32
            140	     37
            141	     30
            142	     24
            143	     11
            144	      5
            145	     -9
            146	    -11
            147	    -16
            148	    -19
            149	    -22
            150	    -22
            151	    -24
            152	    -22
            153	    -23
            154	    -16
            155	     40
